Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
1,-1.78338,0.361917
2,-1.15912,0.247533
3,-1.74027,0.36861
4,-1.47416,0.314464
5,-1.43894,0.281636
6,-1.44211,0.340431
7,-1.23888,0.278668
8,-1.18788,0.263757
9,-1.02036,0.225536
10,-1.21955,0.293333
11,-1.30446,0.300153
12,-1.18978,0.26372
13,-1.30128,0.282602
14,-1.61113,0.32352
15,-1.51621,0.367736
16,-1.52648,0.316572
17,-1.14686,0.244101
18,-1.4211,0.281009
19,-1.77236,0.368867
20,-1.46047,0.321341
21,-0.207663,0.141295
22,-0.162388,0.154724
23,-0.0584915,0.152292
24,-0.0492513,0.104764
25,-0.320457,0.183201
26,-0.360685,0.178441
27,-0.431456,0.216748
28,-0.237027,0.139988
29,-0.224154,0.130744
30,-0.216241,0.163247
31,-0.223438,0.131424
32,-0.489486,0.220153
33,-0.421774,0.194861
34,-0.401055,0.174237
35,-0.115823,0.113988
36,-0.198179,0.156541
37,-0.382566,0.178355
38,-0.451676,0.19386
39,-0.363991,0.195119
40,-0.0396825,0.101978
41,0.272125,0.116525
42,-0.172926,0.24782
43,-0.118209,0.196352
44,-0.0638754,0.18346
45,-0.235188,0.210152
46,0.0144565,0.165063
47,-0.0350411,0.169364
48,0.285206,0.0850051
49,0.152482,0.148527
50,0.128623,0.151323
51,0.0447088,0.166366
52,-0.144849,0.208665
53,0.136133,0.133796
54,0.060833,0.166938
55,0.161678,0.14067
56,0.151696,0.106327
57,0.136939,0.151745
58,0.22569,0.106075
59,0.0779919,0.14587
60,0.0444782,0.173836
61,-0.0499016,0.229639
62,0.126463,0.188477
63,0.414106,0.120023
64,0.417809,0.144245
65,0.516707,0.0948034
66,0.457753,0.119686
67,0.330592,0.139487
68,0.606014,0.0989704
69,0.400982,0.166645
70,0.421269,0.134688
71,0.564794,0.100462
72,0.426652,0.121051
73,0.112458,0.212052
74,0.38769,0.180047
75,0.168221,0.209434
76,0.319084,0.171544
77,0.278675,0.181781
78,0.175124,0.191928
79,0.0990822,0.197685
80,0.401069,0.111545
81,0.735487,0.099644
82,0.403015,0.207086
83,0.632846,0.151365
84,0.679781,0.142351
85,0.594238,0.132839
86,0.761915,0.0949096
87,0.294071,0.248517
88,0.566294,0.157949
89,0.768761,0.139616
90,0.876848,0.11617
91,0.662126,0.164313
92,0.400827,0.197878
93,0.559304,0.152714
94,0.567995,0.145964
95,0.704318,0.148853
96,0.639919,0.165746
97,0.821296,0.113785
98,0.774912,0.0863422
99,0.490946,0.161403
100,0.604221,0.14977
101,0.842247,0.153486
102,1.04576,0.151613
103,0.927202,0.143567
104,0.833277,0.163245
105,0.881848,0.159896
106,0.852629,0.153671
107,0.832076,0.151271
108,0.792625,0.185736
109,0.838583,0.16305
110,0.817344,0.191334
111,0.306384,0.252932
112,0.768843,0.143412
113,0.981885,0.151741
114,0.584546,0.196461
115,1.06017,0.118029
116,0.869289,0.158783
117,0.968612,0.131869
118,0.890775,0.165581
119,0.7514,0.174714
120,0.575553,0.202289
121,0.635928,0.262961
122,0.802239,0.21696
123,1.2765,0.15417
124,1.06877,0.147492
125,1.28767,0.102613
126,0.920084,0.188925
127,1.21274,0.123248
128,0.916166,0.194655
129,1.06982,0.218349
130,0.744559,0.264537
131,1.16804,0.14033
132,1.13987,0.163303
133,1.13424,0.160089
134,1.3084,0.132663
135,1.06965,0.1611
136,1.07241,0.194219
137,0.92238,0.188492
138,1.17217,0.17408
139,1.12676,0.148491
140,1.20181,0.114087
141,1.58681,0.116157
142,1.34491,0.15069
143,1.32473,0.200316
144,1.39265,0.131865
145,1.3369,0.156439
146,1.48363,0.150211
147,1.51377,0.161243
148,1.49831,0.149034
149,1.19381,0.228473
150,1.16557,0.252152
151,1.33023,0.180871
152,1.23518,0.171158
153,1.40585,0.141352
154,1.48748,0.139835
155,1.65007,0.135128
156,1.13513,0.228427
157,0.914212,0.251583
158,1.4631,0.152372
159,1.34151,0.155133
160,1.62378,0.11045
161,1.81167,0.116471
162,1.78158,0.141629
163,1.53735,0.232165
164,1.68478,0.159644
165,1.85056,0.121719
166,1.6318,0.165881
167,1.54074,0.170402
168,1.69774,0.153796
169,1.71794,0.146411
170,1.59881,0.190438
171,1.47897,0.219681
172,1.62546,0.158608
173,1.79495,0.187051
174,1.8703,0.122643
175,1.76134,0.105256
176,1.60784,0.169901
177,1.59833,0.170453
178,1.60333,0.178304
179,1.72515,0.176518
180,1.97048,0.115372
181,1.83165,0.223881
182,2.15058,0.0992363
183,2.08367,0.14396
184,1.72797,0.220647
185,1.80553,0.196784
186,1.79057,0.213685
187,2.10325,0.121975
188,2.00164,0.139245
189,2.07581,0.154487
190,2.19606,0.0929241
191,1.84957,0.166045
192,1.77319,0.197834
193,1.64142,0.25117
194,1.70775,0.234452
195,1.66907,0.220919
196,2.16749,0.114144
197,2.14145,0.139094
198,1.70721,0.184619
199,1.79414,0.164139
200,1.89575,0.166121
201,2.0033,0.205927
202,2.3813,0.155016
203,2.28862,0.155206
204,2.40213,0.141302
205,2.17588,0.173831
206,2.17881,0.173663
207,2.13195,0.208291
208,2.46664,0.146552
209,2.03128,0.243757
210,2.14305,0.166215
211,2.32334,0.146352
212,2.13628,0.229112
213,2.31631,0.139016
214,2.11579,0.161379
215,2.30639,0.108721
216,2.46419,0.163116
217,2.00528,0.211388
218,2.01706,0.240786
219,2.09281,0.232299
220,1.94977,0.276019
221,2.35803,0.183503
222,2.32565,0.237231
223,2.46564,0.175012
224,2.6143,0.141738
225,2.60286,0.150621
226,2.23268,0.277336
227,2.57695,0.18006
228,2.00204,0.286314
229,2.50577,0.197498
230,2.44595,0.177751
231,2.44384,0.177225
232,2.42508,0.179024
233,2.50823,0.159104
234,2.64836,0.132815
235,2.36689,0.207873
236,2.72102,0.133063
237,2.64644,0.140655
238,2.52207,0.183037
239,2.22292,0.254578
240,2.50981,0.163147
241,2.90617,0.137464
242,2.86229,0.118011
243,3.03124,0.126497
244,2.8501,0.203924
245,2.58156,0.228405
246,2.78272,0.173886
247,2.69881,0.182634
248,2.76455,0.198001
249,2.97228,0.112306
250,3.05742,0.0931471
251,2.62839,0.208024
252,2.9776,0.139705
253,2.67217,0.21239
254,3.02125,0.132174
255,2.72027,0.174298
256,2.53069,0.224946
257,2.96412,0.125797
258,2.85194,0.149665
259,2.91395,0.175826
260,2.85274,0.154554
261,3.08964,0.159022
262,3.04793,0.201997
263,3.1385,0.147874
264,2.84682,0.219369
265,3.00729,0.178424
266,3.19051,0.17041
267,2.77877,0.249612
268,2.99552,0.203303
269,2.74259,0.233192
270,3.47135,0.081225
271,2.91068,0.187911
272,2.80323,0.246032
273,2.70831,0.21673
274,3.09466,0.158556
275,2.92308,0.242496
276,2.80317,0.232621
277,3.18332,0.130862
278,2.88161,0.206077
279,2.85593,0.210341
280,3.07999,0.15769
281,3.25403,0.166035
282,3.00521,0.228525
283,3.1156,0.207696
284,3.29925,0.190845
285,3.46601,0.170116
286,3.18064,0.205918
287,3.08195,0.198768
288,3.54067,0.113136
289,3.45298,0.116861
290,3.13476,0.17261
291,3.45623,0.126359
292,2.98044,0.247373
293,3.17756,0.186003
294,3.64217,0.0955273
295,3.19635,0.189965
296,3.56688,0.142567
297,3.34301,0.160988
298,3.20826,0.221232
299,3.32749,0.193202
300,3.35512,0.17585
301,3.62557,0.157645
302,3.4922,0.164996
303,3.45846,0.206436
304,3.47449,0.211886
305,3.4384,0.201661
306,3.32122,0.195826
307,3.39586,0.199053
308,3.41629,0.152928
309,3.22936,0.225411
310,3.19808,0.277859
311,3.35836,0.19012
312,3.29996,0.21638
313,3.66278,0.139793
314,3.33869,0.201938
315,3.55838,0.160621
316,3.23768,0.173917
317,3.53582,0.189353
318,3.5256,0.153933
319,3.4514,0.185992
320,3.64823,0.135231
321,3.81082,0.119435
322,3.42525,0.234237
323,3.82031,0.168622
324,3.68435,0.19739
325,3.77084,0.134251
326,3.68186,0.181049
327,3.99654,0.126737
328,3.70699,0.15787
329,3.50928,0.241803
330,3.08417,0.300108
331,3.51745,0.22511
332,3.36741,0.251326
333,3.4791,0.245359
334,3.74105,0.186812
335,3.66021,0.177301
