Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
1,-1588.66,54.2068
2,-1602.72,51.9375
3,-1628.82,51.6216
4,-1627.22,51.6794
5,-1627.08,48.1729
6,-1619.61,50.5693
7,-1668.48,40.2809
8,-1678.64,40.5938
9,-1635.22,46.4639
10,-1639.1,45.5719
11,-1655.5,41.5929
12,-1657.31,41.4664
13,-1582.49,53.0178
14,-1576.47,54.1366
15,-1522.45,52.3067
16,-1501.29,59.6353
17,-1603.52,43.6823
18,-1601.84,43.56
19,-1551.51,55.7549
20,-1573.3,49.5905
21,-1205.14,55.5427
22,-1193.31,56.1936
23,-1186.65,60.3969
24,-1185.53,59.887
25,-1107.32,63.2699
26,-1111.4,63.9633
27,-1181.21,56.6136
28,-1173.29,56.4352
29,-1122.58,70.6353
30,-1135.17,66.6698
31,-1160.6,60.9921
32,-1141.86,64.2999
33,-1142.92,58.7215
34,-1157.45,58.5007
35,-1129.83,74.1491
36,-1142.09,73.2406
37,-1085.35,65.6725
38,-1087.97,64.8615
39,-1129.37,68.7386
40,-1128.45,68.8947
41,-954.09,70.8749
42,-909.534,73.8953
43,-883.879,71.7052
44,-889.946,72.1666
45,-770.194,78.4054
46,-761.225,79.1887
47,-995.481,68.9485
48,-974.662,68.5068
49,-840.707,69.4084
50,-835.407,69.3648
51,-971.219,72.3454
52,-948.006,66.5215
53,-843.62,70.5288
54,-844.217,68.7264
55,-941.962,73.3245
56,-951.205,70.831
57,-812.29,77.171
58,-824.547,76.9033
59,-845.8,70.4795
60,-848.559,70.2504
61,-743.569,73.0073
62,-735.032,73.3845
63,-629.339,78.684
64,-651.192,76.0532
65,-663.355,89.1412
66,-659.362,88.4635
67,-619.255,83.1937
68,-625.38,82.6077
69,-707.313,75.7821
70,-693.205,76.4624
71,-798.999,62.5846
72,-812.218,63.8656
73,-678.337,82.6281
74,-663.145,82.0197
75,-686.571,77.6747
76,-712.471,77.1831
77,-759.141,76.892
78,-732.608,79.3183
79,-701.491,82.5714
80,-731.221,78.4675
81,-503.958,77.8118
82,-463.262,80.2267
83,-497.604,85.3133
84,-503.708,85.5505
85,-515.78,85.252
