Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
1,-1002.64,156.511
2,-1231.42,139.303
3,-1181.18,171.247
4,-1297.81,158.2
5,-1178.27,150.361
6,-1073.24,152.944
7,-1280.95,134.758
8,-1275.05,137.056
9,-1286.33,173.954
10,-1519.48,134.815
11,-1510.03,187.251
12,-1489.26,132.947
13,-1077.66,192.507
14,-1393.91,112.717
15,-1099.73,200.469
16,-1071.65,169.748
17,-974.779,183.968
18,-1434.54,98.3986
19,-1053.62,192.734
20,-1275.37,149.337
21,-1087.16,154.069
22,-951.074,203.698
23,-1239.82,187.854
24,-1158.28,154.722
25,-1312.73,155.629
26,-1263.18,166.283
27,-1086.18,190.981
28,-1081.13,187.357
29,-1377.81,152.63
30,-1423.82,139.085
31,-1548.41,59.6545
32,-1304.57,117.987
33,-1420.1,79.9198
34,-1394.39,109.999
35,-1437.82,91.9743
36,-1250.8,109.591
37,-1173.72,165.978
38,-1361.71,127.043
39,-1312.09,129.297
40,-1477.6,80.2848
41,-1371.51,125.737
42,-1343.76,150.046
43,-1150.55,176.428
44,-1403.31,117.791
45,-1318.31,133.204
46,-1282.1,124.745
47,-1206.53,162.398
48,-1363.84,128.499
49,-1410.08,168.825
50,-1368.78,119.949
51,-1238.32,144.057
52,-1267.17,185.04
53,-1274.79,164.798
54,-1266.09,152.12
55,-1041.5,181.332
56,-1255.35,150.778
57,-996.586,192.076
58,-861.767,223.808
59,-1052.23,189.662
60,-827.547,207.342
61,-589.285,206.584
62,-692.932,201.45
63,-625.701,192.184
64,-491.304,230.112
65,-585.593,205.5
66,-652.555,210.666
67,-707.214,159.083
68,-516.087,163.012
69,-695.585,149.03
70,-678.763,174.313
71,-611.339,145.508
72,-808.707,168.139
73,-743.71,157.167
74,-967.352,176.827
75,-1113.12,146.654
76,-717.856,173.12
77,-928.797,153.091
78,-1007.15,162.727
79,-617.982,162.477
80,-1071.02,123.529
81,-731.163,126.836
82,-743.074,162.186
83,-724.847,159.45
84,-772.631,117.276
85,-516.036,216.54
86,-802.416,196.608
87,-809.879,191.053
88,-686.385,192.029
89,-961.48,210.998
90,-712.315,216.629
91,-913.948,193.378
92,-678.934,188.296
93,-564.639,195.61
94,-786.296,194.519
95,-590.169,206.433
96,-572.281,202.944
97,-950.033,157.677
98,-651.862,144.578
99,-791.228,168.115
100,-598.222,171.316
101,-925.694,159.514
102,-648.967,147.719
103,-910.129,170.729
104,-717.357,140.784
105,-764.596,159.671
106,-858.035,209.352
107,-789.02,162.952
108,-914.283,198.395
109,-846.997,180.436
110,-529.141,200.871
111,-731.572,182.364
112,-876.448,186.126
113,-755.277,140.467
114,-828.079,164.329
115,-812.42,173.438
116,-833.402,168.685
117,-957.418,185.861
118,-854.497,154.914
119,-670.226,184.45
120,-659.353,180.995
121,-585.654,186.988
122,-334.2,183.292
123,-124.423,237.69
124,-129.495,172.14
125,-141.209,173.937
126,-308.946,206.835
127,-466.533,198.607
128,-532.535,191.137
129,-467.583,181.542
130,-669.839,208.675
131,-374.964,147.258
132,-384.021,220.072
133,-472.098,169.13
134,-623.499,149.985
135,-707.736,174.666
136,-681.716,168.855
137,-388.859,153.409
138,-702.362,150.267
139,-360.567,205.729
140,-556.35,198.086
141,-472.405,176.9
142,-446.616,212.312
143,-462.699,202.345
144,-487.073,226.644
145,-296.153,206.213
146,-254.838,185.76
147,-338.886,206.456
148,-523.374,176.068
149,-506.138,196.117
150,-278.726,181.563
151,-76.1204,214.39
152,-236.951,207.777
153,-237.269,193.951
154,-394.005,213.523
155,-517.36,223.145
156,-262.656,214.372
157,-572.679,181.485
158,-473.757,146.903
159,-478.938,177.813
160,-482.676,180.25
161,-336.344,192.722
162,-287.235,160.341
163,-691,166.427
164,-348.248,202.547
165,-310.67,188.402
166,-373.78,190.729
167,-693.53,188.065
168,-476.691,170.878
169,-331.131,184.817
170,-577.586,176.818
171,-477.756,174.193
172,-455.596,177.613
173,-617.052,209.765
174,-507.53,202.098
175,-499.897,233.424
176,-254.944,228.244
177,-472.512,213.35
178,-491.49,211.75
179,-104.166,244.301
180,-175.683,230.546
181,-81.3677,175.99
182,-178.037,167.847
183,-0.808377,189.645
184,-456.497,200.321
185,-89.2681,184.15
186,-283.293,165.106
187,-229.295,175.36
188,-68.6257,188.077
189,-307.339,182.767
190,-154.918,190.447
191,-176.591,219.08
192,-165.317,185.972
193,-207.841,194.984
194,-186.612,203.425
195,-126.165,210.361
196,-304.875,185.769
197,-127.806,184.652
198,-347.362,231.656
199,-233.596,204.169
200,-304.903,195.196
201,-351.37,220.459
202,-225.943,202.94
203,-363.694,219.924
204,-187.93,226.084
205,-458.876,206.112
206,-194.835,191.886
207,-218.06,220.187
208,-250.349,213.393
209,-217.566,191.144
210,-353.396,192.739
211,-325.044,196.482
212,-81.6189,173.51
213,-224.244,175.541
214,-236.374,182.234
215,-209.809,189.031
216,-260.949,226.492
217,-143.404,217.605
218,-185.262,210.75
219,-85.6137,217.569
220,-68.5261,215.227
221,-108.851,182.778
222,-8.72535,214.014
223,-21.0449,204.391
224,-210.068,206.248
225,-99.6502,230.4
226,-371.674,195.463
227,-68.8431,173.196
228,-201.233,202.414
229,-118.418,224.924
230,132.194,221.265
231,-60.0239,221.735
232,-38.59,195.518
233,142.506,231.979
234,-96.5591,215.506
235,-322.057,194.594
236,-136.151,197.094
237,23.6647,200.82
238,-245.326,196.591
239,-200.001,208.907
240,-9.78914,191.093
241,-89.7756,193.231
242,55.9158,192.878
243,-103.998,193.995
244,-79.2405,197.508
245,-89.8783,213.516
246,-181.882,195.645
247,-197.717,191.849
248,-252.389,222.662
249,-277.655,201.611
250,-325.517,226.553
251,-181.832,201.468
252,-235.95,210.296
253,-45.3532,189.769
254,-147.102,192.441
255,-447.937,217.863
256,-176.765,174.226
257,-54.1998,211.416
258,-197.075,205.201
259,-50.8164,208.079
260,-309.887,214.169
261,-361.006,189.221
262,-310.131,189.018
263,-269.494,185.773
264,-103.496,203.681
265,162.007,202.422
266,-247.68,178.389
267,89.1658,188.781
268,-148.842,219.399
269,-80.4092,222.738
270,-249.645,231.577
271,155.095,172.859
272,-133.024,222.014
273,219.622,179.359
274,59.9145,187.726
275,67.3905,206.577
276,-53.3403,193.472
277,-126.815,179.042
278,-131.705,154.379
279,-200.828,174.998
280,-80.255,181.252
281,-10.4389,164.055
282,-310.025,201.697
283,-324.781,235.481
284,-129.842,204.362
285,-138.022,219.497
286,-139.528,202.491
287,-10.5814,211.126
288,-105.471,215.426
289,70.3154,166.742
290,-81.4085,219.854
291,-65.1049,222.489
292,149.497,185.848
293,233.321,193.89
294,160.758,195.511
295,87.0817,199.387
296,-58.4788,205.181
297,-45.2715,189.502
298,28.1474,207.625
299,72.773,199.078
300,-94.9104,183.604
301,66.3194,207.386
302,332.914,216.856
303,79.8429,207.655
304,301.032,191.58
305,118.463,208.898
306,157.074,225.047
307,101.559,212.532
308,397.17,213.697
309,135.685,201.867
310,220.726,202.864
311,357.464,183.359
312,96.0855,208.242
313,-12.0819,240.873
314,-177.094,240.001
315,56.0871,196.919
316,227.757,194.439
317,-183.431,240.587
318,163.693,246.906
319,151.082,211.235
320,202.581,190.277
321,91.4472,211.945
322,-43.4466,220.214
323,74.145,206.078
324,170.932,177.163
325,-112.726,218.354
326,-113.45,256.23
327,62.3748,209.2
328,-186.991,199.807
329,70.6135,225.407
330,-231.233,217.206
331,-131.73,173.038
332,-2.35644,163.675
333,228.384,180.255
334,293.729,170.713
335,-229.274,209.041
336,50.2779,168.73
337,257.249,214.409
338,181.958,210.135
339,-8.3401,221.137
340,211.151,197.472
341,357.752,203.063
342,-117.405,170.851
343,180.701,217.922
344,408.515,167.935
345,314.142,192.837
346,268.211,155.721
347,22.9106,188.371
348,227.504,196.526
349,402.028,199.654
350,162.63,195.136
351,168.001,203.904
352,97.0687,202.139
353,45.1109,205.88
354,71.639,202.577
355,82.519,234.438
356,169.35,235.87
357,418.943,212.358
358,-201.617,248.812
359,98.3824,224.654
360,232.229,242.293
361,290.562,213.044
362,176.851,233.031
363,-22.905,233.519
364,302.108,210.45
365,191.103,217.891
366,245.709,211.47
367,272.493,188.903
368,348.916,208.136
369,282.568,173.353
370,98.0435,218.602
371,168.807,201.689
372,238.358,201.818
373,299.227,241.544
374,380.506,213.45
375,511.677,232.874
376,304.746,213.835
377,467.043,233.866
378,66.0306,213.998
379,305.457,200.883
380,83.1037,237.753
381,-31.0177,225.522
382,95.0472,223.439
383,21.0346,240.889
384,177.17,209.874
385,139.22,211.743
386,199.785,195.451
387,279.548,229.735
388,149.47,193.453
389,-45.0755,226.187
390,254.255,223.352
391,478.113,197.841
392,146.01,225.737
393,450.002,203.667
394,267.527,244.73
395,486.922,184.701
396,275.416,227.301
397,118.713,216.11
398,72.2761,199.523
399,260.377,176.149
400,217.953,199.14
401,352.515,199.021
402,110.348,216.149
403,158.562,204.869
404,123.8,182.038
405,317.565,186.334
406,224.023,195.525
407,-55.6418,209.321
408,586.647,191.13
409,539.777,191.215
410,301.789,207.293
411,140.288,219.214
412,126.811,231.966
413,503.014,193.306
414,266.05,241.104
415,286.897,192.026
416,-139.113,214.233
417,278.525,176.21
418,93.4425,203.345
419,290.704,203.715
420,118.134,191.365
421,458.87,173.489
422,280.594,256.483
423,310.629,222.267
424,438.543,230.996
425,210.502,235.664
426,680.532,182.589
427,427.547,220.363
428,334.833,207.757
429,346.418,222.505
430,333.121,230.657
431,231.67,194.062
432,166.742,230.451
433,452.442,220.711
434,344.107,198.784
435,373.369,212.068
436,469.182,235.113
437,469.516,217.653
438,443.757,197.765
439,157.057,228.615
440,396.409,234.989
441,426.207,222.124
442,159.281,249.848
443,432.797,235.485
444,335.678,210.699
445,765.344,212.032
446,783.233,180.686
447,620.712,202.593
448,214.197,244.681
449,614.107,211.465
450,626.393,204.865
451,425.844,233.667
452,378.488,216.892
453,539.173,207.905
454,612.09,225.16
455,880.086,184.832
456,421.619,191.865
457,141.61,216.538
458,282.508,215.305
459,317.396,212.576
460,142.169,237.614
461,213.775,225.809
462,315.087,191.267
463,499.617,171.532
464,234.141,222.554
465,361.49,230.234
466,378.283,190.765
467,322.674,176.758
468,375.969,186.456
469,385.151,212.671
470,367.198,265.045
471,432.807,231.395
472,132.853,231.978
473,506.631,212.95
474,275.652,265.876
475,26.9296,215.509
476,242.341,188.843
477,436.348,176.084
478,320.385,202.782
479,406.361,165.308
480,283.653,214.584
481,375.556,223.552
482,454.733,194.919
483,220.61,224.778
484,537.262,228.914
485,329.366,213.006
486,422.118,228.031
487,398.759,226.448
488,472.665,224.229
489,636.34,225.44
490,783.841,203.463
491,714.81,195.617
492,579.635,197.818
493,508.398,206.333
494,402.927,213.921
495,193.123,253.267
496,604.952,199.584
497,133.194,242.844
498,442.123,235.767
499,94.4118,223.076
500,293.643,219.619
501,-149.82,263.503
502,127.395,210.644
503,450.36,205.603
504,457.612,199.778
505,723.803,176.928
506,639.15,174.391
507,571.27,183.651
508,557.689,192.045
509,602.493,169.453
510,614.857,182.563
511,711.384,230.487
512,909.796,190.936
513,729.649,214.387
514,698.631,201.221
515,757.334,215.996
516,465.244,209.133
517,482.17,263.616
518,394.644,288.573
519,599.527,245.412
520,592.308,278.191
521,213.713,242.865
522,367.129,264.041
523,279.013,244.343
524,420.409,228.48
525,553.53,222.995
526,444.992,215.071
527,400.475,233.533
528,492.557,226.416
529,463.618,222.582
530,754.331,214.115
531,557.477,205.021
532,616.14,179.501
533,634.055,204.438
534,641.967,192.076
535,805.149,225.638
536,610.391,203.326
537,610.928,219.657
538,606.389,211.778
539,497.595,222.052
540,543.555,202.752
541,745.162,204.387
542,678.762,226.489
543,721.257,213.137
544,698.407,214.51
545,484.595,228.631
546,522.26,223.155
547,1018.9,175.465
548,559.421,239.562
549,644.476,203.662
550,671.257,210.032
551,751.785,213.242
552,376.995,254.039
553,362.905,193.665
554,623.923,198.78
555,137.657,211.821
556,439.214,182.299
557,588.969,199.752
558,354.775,236.646
559,697.385,216.455
560,698.233,193.996
561,384.084,255.371
562,647.713,197.626
563,342.6,236.279
