Mean Return,Standard Deviation
-123.687,63.557
-115.235,60.9078
-95.494,51.2172
-82.018,53.1033
-79.737,51.6022
-75.578,44.6956
-64.324,41.0387
-55.569,29.3456
-51.791,34.778
-54.586,35.582
-51.364,33.3434
-49.334,25.9414
-47.747,40.532
-46.063,36.4152
-40.656,29.066
-44.941,32.5099
-42.088,31.9839
-39.638,25.8597
-33.435,16.9907
-30.419,21.1765
-34.604,35.5298
-32.171,24.135
-34.063,28.7962
-30.072,20.0338
-30.505,24.3816
-27.4,19.0951
-25.203,30.0814
-29.442,35.5897
-22.929,13.4563
-27.704,31.9949
-26.05,27.8553
-27.065,29.445
-22.136,12.5015
-20.131,13.3659
-18.829,13.612
-20.593,13.2602
-18.71,11.9506
-17.381,9.47658
-18.216,11.2857
-17.044,9.32118
-21.914,27.3306
-18.361,18.5732
-17.26,14.0147
-17.755,19.9618
-16.576,11.386
-14.374,7.14961
-19.467,22.4889
-14.807,11.1269
-14.363,11.3459
-15.3,16.1686
-16.562,27.0931
-13.044,7.22284
-13.807,21.3296
-13.881,12.1859
-14.41,17.7046
-12.909,9.45425
-13.333,13.8452
-14.336,18.8571
-12.881,11.4693
-11.809,12.757
-14.461,19.489
-12.087,11.2291
-11.613,11.3894
-11.953,7.36315
-15.232,31.7033
-10.954,7.30292
-9.991,6.18199
-9.628,5.44144
-10.676,9.23498
-10.726,12.7791
-11.087,10.331
-11.082,16.9057
-9.637,9.54253
-12.543,23.4089
-10.745,13.3804
-11.312,11.2937
-10.942,15.2463
-9.388,8.91
-9.268,9.53366
-11.213,23.3212
-9.627,7.62147
-8.612,5.02431
-8.057,6.03341
-9.525,10.1226
-9.106,9.12105
-8.888,7.84936
-9.438,11.7488
-8.268,5.06537
-8.359,4.70182
-8.207,10.944
-8.26,12.2701
-7.429,4.35826
-8.729,10.376
-7.543,5.33466
-6.705,4.36745
-9.589,18.5332
-10.973,23.52
-9.17,15.0114
-8.165,6.83776
-9.289,16.6963
