Mean Return,Standard Deviation
-242.1,67.9586
-148.39,103.956
-116.64,71.927
-131.28,75.852
-119.49,72.4535
-170.49,70.2352
-162.19,99.6629
-167.58,88.0123
-178.21,82.2485
-136.88,72.7886
-153.83,90.0889
-220.97,79.3692
-128.72,88.5535
-158.61,75.7371
-156.2,70.8062
-141.54,89.7699
-137.93,79.6897
-187.54,67.292
-170.4,78.9987
-130.08,68.439
-175.82,85.938
-154.13,89.417
-155.83,85.5272
-121.13,82.0404
-172.28,92.3556
-138.87,66.3896
-131.07,60.463
-121.37,53.4053
-155.05,61.4134
-193.96,87.0588
