Mean Return,Standard Deviation
21.36,14.8239
21.97,19.0557
22.5,23.777
22.07,16.141
24.67,21.6585
26.25,28.4326
29.13,23.2212
36.88,56.0134
41.33,101.174
51.11,67.1085
64.09,114.526
82.35,171.586
121.06,228.649
158.43,268.718
178.69,275.679
241.03,343.727
283.91,355.004
330.1,391.726
413.57,383.368
464.96,418.12
565.19,404.554
627.36,398.457
669.89,368.161
702.22,363.59
722.04,348.117
794.85,314.118
803.87,307.191
869.4,269.224
824.78,290.04
872.87,246.217
876.91,263.465
922.39,195.365
918.61,199.984
936.18,173.129
955.2,144.787
987.19,74.7925
965.86,134.731
967.12,136.726
994.09,60.9718
984.86,82.6364
977.73,133.448
984.74,102.569
995.76,59.501
1004.94,31.5335
1006.72,16.3701
1000.08,56.4824
1006.44,18.3046
1005.5,30.7852
1003.73,39.6311
1001.58,51.6504
1009,0
1008.26,7.4
1006.73,22.7
1007.06,19.4
1009,0
1008.75,2.5
1009,0
1009,0
1009,0
1006.59,24.1
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
1009,0
