Mean Return,Standard Deviation
-99.72,95.3942
-92.31,70.0791
-98.25,90.773
-92.62,83.06
-83.44,59.0104
-106.79,92.6135
-89.2,77.1131
-89.5,64.0334
-80.33,65.6047
-71.72,55.9488
-82.15,61.4934
-66.11,45.0925
-62.34,48.2697
-62.62,46.4923
-56.65,42.7673
-56.19,39.9486
-54.66,44.827
-49.41,35.2747
-56.13,39.3982
-45.23,35.4731
-43.35,30.0768
-40.87,30.838
-42.81,28.915
-37.31,23.6125
-35.72,24.6495
-38.68,21.6505
-36.84,25.4089
-34.61,23.335
-31.77,18.7114
-32.15,19.4325
-31.2,18.6851
-31.37,22.6652
-28.23,15.4625
-31.93,18.2985
-26.88,14.6545
-29.43,15.8058
-25.1,17.4625
-28.29,18.6289
-25.43,16.0883
-26,15.1731
-25.47,11.0201
-24.4,12.917
-25.95,14.2293
-24.79,12.1857
-23.9,12.1418
-24.78,14.6712
-21.79,10.3038
-22.83,11.963
-19.61,9.67857
-20.26,8.69648
-21.85,9.93756
-21.06,11.5433
-20.24,9.24976
-18.73,7.85713
-19.81,8.52411
-20.71,9.9912
-20.13,8.79584
-21.35,10.4846
-19.69,9.21099
-19.62,9.50999
-19.33,8.09795
-18.84,9.25041
-16.93,7.18901
-18.16,8.61139
-18.47,8.5711
-16.66,7.07709
-18.76,8.55537
-19.04,7.85592
-16.25,6.29795
-16.67,7.01521
-16.78,7.08902
-17.85,8.02317
-17.09,6.94291
-17.37,6.9379
-15.76,6.63495
-16.68,7.06947
-15.63,7.1586
-16.62,6.30501
-15.43,6.20566
-16.4,6.44323
-16.53,8.00815
-17.01,7.30227
-18.29,10.2507
-16.24,6.8933
-15.4,5.84307
-15.21,6.01395
-14.51,6.2223
-15.27,6.06506
-15.21,6.54633
-15.66,6.23483
-15.44,5.87121
-15.22,6.26451
-14.36,5.2772
-15.37,5.85973
-14.04,4.49224
-13.81,4.30338
-14.14,5.09906
-14.45,5.76716
-13.37,4.47136
-14.12,5.03178
