Mean Return,Standard Deviation
-4399.21,1087.93
-3108.33,1845.11
-2497.15,2037.32
-2188.76,2013.56
-2056.64,2027.72
-1743.09,1958.12
-1410.39,1783.5
-1387.38,1787.16
-1217.55,1750.9
-1091.54,1644.84
-885.44,1421.74
-822.28,1360.99
-755.16,1349.57
-705.39,1239.42
-694.33,1284.22
-648.43,1220.94
-579.79,1127.4
-558.15,1020.88
-563.79,1097.5
-544.62,1133.26
-520.79,1045.69
-482.19,946.51
-497.98,1041.11
-503.89,1041.64
-476.27,957.648
-401.92,735.649
-364.92,678.111
-392.78,756.672
-381.43,733.226
-357.15,689.938
-329.72,674.301
-329.97,673.307
-334.56,681.004
-341.58,674.741
-314.74,674.765
-321.22,673.228
-311.35,676.255
-322.63,674.388
-316.49,674.215
-314.67,674.823
-318.32,674.008
-310.2,674.866
-316.22,676.45
-301.23,675.34
-242.1,293.438
-276.48,503.131
-215.48,100.982
-209.77,55.409
-206.64,52.8722
-206.84,59.9614
-205.54,41.6031
-204.2,38.4758
-202.7,33.362
-204.41,37.7448
-198.14,26.9822
-199.93,31.0165
-202.31,34.6794
-202.98,30.6963
-199.39,43.5614
-204.21,71.202
-199.45,24.7743
-199.49,45.7919
-200.28,35.1065
-199.46,30.9243
-210.17,81.7355
-196.98,27.3422
-198.4,32.3822
-194.26,22.0498
-197.09,29.1635
-200.6,27.2003
-198.64,36.2253
-196.83,24.0803
-192.13,17.8539
-192.34,19.2108
-194.79,20.5261
-191.95,17.0941
-197.74,26.3437
-192.47,15.182
-192.61,20.1925
-195.21,26.8867
-192.16,14.3638
-194.58,26.5757
-191.67,17.5194
-194.01,27.7352
-192.72,17.7332
-192.34,20.5889
-191.11,12.9349
-191.12,20.8803
-193.47,20.9475
-190.32,27.0218
-192.55,20.7288
-187.19,17.6668
-189.02,16.5157
-195.08,30.4391
-192.97,22.2966
-191.13,13.8182
-190.95,22.3179
-194.43,19.5801
-197.49,47.9494
-193.99,17.9565
-190.29,16.4515
-190.87,26.7679
-189.17,14.044
-193.49,28.2008
-191.09,17.6126
-187.18,16.1385
-191.85,21.5657
-191.45,19.214
-195.09,27.9274
-187.85,21.0724
-189.35,19.983
-194.83,35.01
-191.66,19.4299
-192.06,19.1374
-188.73,23.7703
-187.62,22.2651
-187.16,17.9897
-189.95,21.0134
-188.78,24.8159
-187.97,24.4365
-188.56,26.1929
-191.19,19.6395
-187.41,18.6342
-187.32,19.1675
-185.76,21.6142
-186.11,24.9123
-191.01,21.2215
-189.8,22.9052
-188.54,22.4276
-188.56,14.0283
-191.97,19.0785
-188.91,16.6588
-184.99,19.3899
-188.67,17.9461
-188.68,25.2946
-188.12,20.4081
-188.97,17.6546
-186.92,19.5658
-189.09,16.5628
-188.15,17.7652
-189.68,14.3117
-190.83,21.8932
-187.45,17.1248
-185.91,18.9129
-185.3,17.0326
-185.58,15.9191
-188.09,17.7764
-188.29,25.004
-186.58,18.2082
-193.25,22.4353
-182.98,18.4533
-185.63,18.039
-188.08,20.6929
-187.09,23.8705
-185.19,22.0187
-186.37,19.8386
-187.2,17.7872
-188.77,22.9007
-187.64,17.2934
-187.09,18.8471
-185.35,20.3898
-183.39,17.811
-185.67,19.5593
-186.07,20.7258
-185.8,21.5594
-188.64,22.1585
-186.43,21.168
-186.09,19.8591
-188.2,25.2246
-187.18,22.9538
-183.34,17.2663
-181.89,21.5697
-186.62,23.2691
-188.61,15.9759
-185.09,18.6011
-189.91,22.7725
-190.6,22.3666
-183.13,20.7231
-186.05,20.4517
-183.9,16.87
-187.3,19.6266
-185.42,17.5529
-182.4,20.1309
-182.66,21.8827
-186.48,20.5458
-185.55,22.1051
-183.47,19.6451
-185.92,23.2664
-186.78,17.2981
-184.23,24.0058
-187.42,20.1731
-188.41,23.0481
-184.73,22.3873
-185.51,24.7503
-184.57,23.762
-182.63,21.8214
-182.22,23.6163
-183.08,21.6579
-183.45,23.676
-183.5,18.5083
