Mean Return,Standard Deviation
-72.3125,32.4534
-43.147,48.2155
-46.5025,64.8408
-41.542,60.6512
-29.5215,51.7561
-29.1175,45.1837
-29.167,47.3754
-24.784,36.7208
-24.763,41.2501
-22.056,30.6597
-22.101,36.4028
-22.1845,31.884
-20.036,30.0308
-18.5425,30.2153
-17.438,24.0909
-18.5895,29.3017
-19.217,30.3775
-15.167,23.5204
-16.6965,23.3399
-18.688,31.8305
-18.0165,24.1714
-15.3635,15.3912
-19.61,28.3622
-14.1735,13.6585
-15.3085,21.7787
-14.4565,16.1511
-15.911,16.1081
-14.074,14.3916
-15.433,24.3421
-20.366,36.7959
-17.799,27.6576
-15.234,29.8718
-14.3765,16.3156
-15.294,30.4642
-13.8285,15.5173
-15.0785,27.4783
-14.1825,26.4007
-15.265,24.322
-16.9395,35.7092
-14.4825,24.1248
-16.6645,32.1042
-13.9435,24.6972
-15.147,30.6597
-14.265,24.8739
-15.7035,33.6632
-13.331,14.1383
-15.525,26.9564
-14.313,32.6809
-14.75,25.9839
-13.402,17.1656
-12.284,22.513
-12.768,20.2374
-14.038,19.4634
-13.2335,15.3746
-14.4625,25.7667
-15.1615,30.2158
-11.8035,23.1159
-12.495,19.1511
-13.8415,30.0901
-14.924,31.39
-14.8395,40.5893
-14.9175,30.9804
-14.7925,36.1127
-14.163,27.6078
-16.004,38.6475
-13.1335,25.2759
-13.461,24.4098
-13.14,24.5321
-12.56,23.7323
-11.739,22.7149
-15.5195,38.3745
-11.702,23.8344
-13.721,26.9658
-12.838,25.4502
-10.579,19.4048
-11.371,17.899
-12.7645,30.4495
-10.6125,11.2918
-9.2505,11.4611
-14.2385,31.3292
-10.343,13.2159
-13.998,35.0728
-15.681,36.9694
-14.9325,31.7095
-12.251,24.3948
-10.74,22.582
-12.485,23.9319
-14.529,30.6311
-12.4035,30.2641
-14.286,30.92
-12.205,30.0112
-14.8635,36.8582
-11.484,24.0786
-12.054,30.8462
-13.758,31.8816
-9.005,11.255
-16.343,42.8388
-12.0315,30.132
-11.41,23.3131
-10.4195,13.1735
