Mean Return,Standard Deviation
-68.76,49.5322
-115.43,78.3466
-124.95,83.457
-115.657,84.8253
-136.48,91.2628
-129.587,83.9635
-131.8,91.3985
-117.2,77.1006
-139.353,92.8565
-155.367,95.9183
-128.253,90.0388
-147.64,99.2245
-139.01,96.1184
-131.74,78.1501
-154.433,102.754
-165.13,98.3479
-177.303,92.4122
-167.013,104.733
-147.203,104.631
-135.13,98.0026
-146.593,103.246
-141.9,95.2716
-162.56,99.0756
-153.25,100.488
-168.157,96.9995
-165.823,103.611
-177.813,100.051
-177.303,98.564
-176.66,99.2025
-160.037,101.675
-189.577,101.942
-182.99,107.213
-196.29,92.748
-205.873,91.5452
-196.53,96.4857
-191.157,96.7803
-182.41,93.8273
-201.937,96.466
-199.343,98.4464
-167.973,98.4014
-178.093,102.851
-187.087,83.4332
-209.17,100.033
-190.223,98.4037
-201.217,106.372
-198.823,98.1021
-207.413,99.416
-213.66,93.6462
-202.667,93.1519
-212.843,94.3334
