Mean Return,Standard Deviation
7.35,2.39503
7.605,3.34589
7.445,3.02535
7.685,5.33555
8.045,11.2443
12.235,70.8393
9.06,26.226
7.295,0.748852
7.635,6.16374
7.175,0.690477
7.235,0.649526
7.84,6.11156
11.975,65.2441
12.595,70.8142
11.98,58.3528
11.595,49.4256
13.565,70.8082
12.835,54.7502
14.54,71.1852
17.48,72.7358
19.04,74.7001
32.06,134.061
38.865,135.927
33.295,88.7295
67.28,180.889
92.34,220.512
111.04,237.697
157.795,291.237
206.095,327.285
240.295,344.333
210.11,322.018
231.24,333.128
255.13,362.727
248.65,346.809
248.76,364.101
259.65,372.759
240.93,354.038
275.015,377.437
280.28,360.366
304.095,377.826
339.75,392.592
335.555,384.585
345.465,369.986
412.8,395.806
432.9,395.882
444.455,385.17
455.4,378.409
508.55,387.317
531.345,376.924
565.685,370.666
568.445,362.389
607.115,346.82
615.465,343.384
628.255,325.502
670.295,322.614
696.795,315.611
684.305,311.248
733.28,293.583
731.38,292.456
755.595,289.457
751.93,289.97
764.925,290.749
775.47,281.302
771.2,274.454
764.84,298.569
771.445,305.966
757.125,311.425
777.585,315.847
786.8,308.53
803.805,311.302
819.895,294.546
818.26,306.782
806.19,316.411
818.025,299.848
838.715,301.3
803.93,330.411
824.425,327.225
841.645,316.812
855.515,310.093
854.235,312.035
874.175,294.949
863.26,309.341
845.63,332.975
840.69,338.911
885.98,285.249
862.51,321.367
910.62,267.394
902.565,281.787
914.545,267.283
915.56,268.522
918.755,269.55
924.335,263.523
958.1,199.664
964.79,182.778
954.69,217.719
967.395,185.173
976.72,164.386
959.385,204.867
951.455,228.511
964.02,201.12
960.09,208.541
984.21,148.274
985.53,142.617
989.96,126.677
966.215,190.917
977.25,167.753
986.835,139.04
972.7,178.593
989.795,134.882
984.98,150.469
999.73,92.5064
1009,0
995.48,109.878
1004.4,65.0538
999.01,99.6487
990.22,132.036
976.225,168.968
989.605,136.169
985.445,147.521
989.62,136.034
1002.86,70.9538
999.75,92.2675
1008.46,7.63675
1004,70.64
987.63,137.054
1004.13,68.8015
987.86,137.048
1003.37,71.1723
989.54,134.718
995.02,113.82
1009,0
991.2,125.681
1006.34,37.6888
999.32,96.6098
977.555,166.253
999.025,99.4994
993.18,118.735
989.735,135.214
999.335,96.4619
990.37,130.836
999.005,99.6986
993.84,116.757
997.92,100.725
980.63,162.107
989.995,133.555
985.185,143.165
998.53,95.226
1004,70.64
995.03,114.106
994.565,117.341
1009,0
998.635,96.0922
983.57,152.668
999.91,90.8576
995.06,113.36
1004,70.64
999.8,91.9463
990.105,132.736
994.01,121.776
1004.7,60.0345
994.98,114.04
973.24,182.367
992.325,118.428
995.455,110.358
989.61,136.171
989.495,131.586
999.035,99.3999
984.365,154.296
999.005,99.6986
996.925,101.245
987.785,139.422
978.29,165.166
1004,70.7107
994.01,121.776
986.58,140.613
1004.16,68.4479
975.235,178.033
991.845,124.847
1004.68,61.094
1004.16,68.3772
990.445,128.837
993.015,120.765
988.02,138.01
987.72,140.21
994.645,116.84
982.77,157.188
1004,70.7107
983.93,152.562
999.015,99.5989
994.96,114.196
994.12,120.89
984.035,156.298
989.02,140.211
994.13,120.808
989.17,137.167
989.62,136.2
988.525,136.704
994.27,119.7
1000.01,90.1885
999.025,99.4994
997.98,97.5808
1004,70.7107
982.195,154.09
1004.77,59.7505
1003.16,65.0602
988.94,132.897
981.64,155.16
999.935,80.0997
972.46,181.624
993.955,111.972
986.015,140.962
998.015,99.2489
990.385,123.414
993.01,110.201
986.965,137.072
979.92,158.977
984.845,146.524
979.78,162.033
985.36,142.731
1002.78,66.8494
988.42,134.883
982.89,147.15
1003.51,70.951
989.725,135.546
994.085,116.638
983.22,147.708
995.695,102.482
1005.69,29.4156
1002.74,71.8225
1001.18,71.3756
990.635,120.428
992.31,113.334
992.025,122.801
984.955,148.08
989.555,135.435
979.555,162.561
991.87,111.77
990.535,126.223
995.155,103.964
975.465,149.783
985.13,140.389
986.635,129.108
980.11,152.518
986.255,143.984
987.285,137.751
1003.21,57.9982
1001.5,57.4738
998.425,99.9772
991.205,123.792
989.62,136.209
984.525,146.429
974.15,174.763
984.555,144.668
970.315,182.904
977.245,168.81
972.11,181.42
983.965,155.793
966.61,190.678
970.365,184.112
981.19,159.266
996.42,102.458
989.245,118.416
988.57,135.267
982.86,151.929
1000.18,79.0264
995.45,105.451
998.115,97.4531
984.905,142.979
1001.03,80.7115
978.725,168.479
992.195,121.321
984.145,147.648
981.88,156.745
974.295,182.293
967.01,195.881
974.46,174.369
973.12,180.431
978.76,162.582
983.675,146.857
993.995,121.898
983.16,156.08
997.365,102.2
959.63,209.997
981.595,154.388
968.66,192.452
982.685,152.537
990.295,124.827
997.215,92.648
979.325,159.509
982.41,149.709
969.73,181.99
983.97,147.383
992.28,110.769
978.85,167.457
973.56,177
993.545,122.046
979.515,168.203
982.81,151.515
970.85,182.875
968.29,188.626
