Mean Return,Standard Deviation
-1000,0
-815.06,340.159
-722.337,372.569
-636.547,392.617
-590.7,403.495
-523.243,406.437
-463.083,398.012
-404.58,391.604
-363.687,387.587
-321.82,370.004
-279.037,358.041
-250.993,353.427
-222.483,338.095
-187.9,305.364
-170.39,299.089
-161.79,292.414
-134.19,259.288
-116.21,237.789
-110.763,245.335
-99.4267,227.804
-84.7833,199.833
-79.6467,192.796
-62.9233,151.012
-57.31,145.351
-61.9267,169.595
-50.2433,134.235
-51.8267,138.003
-47.5767,129.134
-46.97,132.912
-39.55,105.53
-39.2433,98.4419
-37.7367,103.035
-36.4467,100.793
-38.9667,114.125
-47.0967,140.46
-41.4733,127.637
-43.2867,128.206
-41.4367,121.846
-36.58,104.327
-35.9233,101.985
-34.61,102.117
-32.71,70.6332
-33.51,94.1051
-41.9933,128.974
-33.8067,100.003
-35.7,113.517
-36.94,115.959
-49.35,159.304
-58.58,185.066
-46.8233,137.446
-45.07,135.701
-40.4367,111.26
-40.2733,113.779
-37.2467,104.179
-32.32,86.0835
-36.31,113.71
-31.58,85.8222
-36.0467,113.606
-41.0233,137.61
-34.4233,102.545
-34.6367,102.702
-29.2367,69.2556
-30.89,85.5346
-35.4367,113.525
-35.0933,108.426
-33.54,100.88
-36.0433,108.43
-35.08,102.537
-32.9133,99.2487
-37.01,115.725
