Mean Return,Standard Deviation
-5000,0
-5000,0
-4817.89,736.241
-3196.85,1586.2
-2620.77,1300.56
-2067.49,835.411
-1553.89,488.332
-1349.31,433.602
-1126.57,332.955
-928.4,229.914
-849.02,219.282
-742.57,180.552
-717.45,164.212
-647.4,147.273
-626.31,177.056
-591.67,151.431
-557.97,128.532
-516.44,132.021
-506.55,122.693
-475.13,120.231
-458.59,118.92
-442.24,126.841
-422.28,130.673
-380.97,110.487
-390.2,150.982
-357.91,124.277
-361.11,105.359
-339.03,108.757
-330.29,98.8839
-315.41,99.7206
-297.1,88.0867
-298.36,105.82
-288.02,101.107
-287.37,110.759
-274.58,92.5686
-273.85,81.2536
-258.3,72.8229
-247.56,74.6981
-269.2,135.988
-255.28,89.8137
-236.57,73.3626
-236.26,70.0963
-237.93,63.1748
-232.4,65.7375
-224.67,58.7819
-231.36,57.5685
-225.85,65.9338
-230.6,71.4098
-210.83,62.2618
-211.26,63.6456
-216.4,57.7371
-209.09,63.9021
-200.25,54.7779
-207.92,53.8476
-198.64,63.4486
-192.26,43.7377
-198.01,49.8238
-197.19,67.4505
-193.92,53.9337
-203.61,56.0478
-180.86,41.9528
-187.56,46.7267
-181.85,47.2988
-188.7,51.8028
-177.41,44.5648
-172.74,44.3741
-180.58,46.8242
-174.63,38.7441
-173.03,38.0904
-178.11,39.875
-171.92,37.9283
-175.11,42.6863
-169.84,34.2223
-169.87,40.1257
-167.42,36.5063
-167.59,35.9574
-171.27,37.0421
-170.7,46.5775
-162.52,32.5031
-168.25,39.194
-162.95,29.2969
-162.93,30.1807
-167.86,32.8882
-159.76,24.0971
-163.49,27.5661
-166.79,35.07
-169.52,52.348
-167.44,30.7717
-168.33,31.2556
-167.31,32.9851
-162.41,24.8576
-163.75,22.5022
-161.3,26.8529
-164.41,29.999
-163.69,28.6221
-164.91,27.1212
-167.35,28.3055
-162.3,24.5922
-170.64,28.7643
-173.01,54.8433
-173.32,28.8279
-176.87,33.9288
-164.81,28.1797
-172.63,27.9663
-165.45,26.5894
-173.64,29.4267
-167.45,34.2322
-171.52,32.1048
-168.23,28.8058
-173.29,33.7038
-166.38,32.6505
-169.85,30.7119
-172.04,35.5576
-170.3,30.8504
-171.02,29.5457
-173.68,38.3569
-171.1,39.4238
-166.82,36.0934
-165.66,35.0028
-166.84,34.4644
-164.09,32.9426
-171.14,34.3367
-167.92,35.578
-172.38,33.7465
-168.04,33.4038
-175.66,36.2113
-162.35,38.738
-166.32,33.5637
-167.69,37.6101
-162.12,33.7924
-162.48,36.7889
-167.28,31.8935
-157.29,36.0046
-163.96,29.9942
-165.2,39.9856
-155.67,35.0598
-161.89,33.5622
-159.57,35.8637
-162.92,36.126
-165.41,33.903
-156.62,34.7664
-167.86,32.6103
-160.71,35.604
-166.48,34.2317
-157.42,36.971
-155.37,35.9063
-160.96,33.9325
-161.14,34.1787
-158.92,36.4502
-162.27,36.3834
-162.24,40.5652
-163.27,37.663
-160.53,36.7221
-159.38,35.2285
-157.93,37.7333
-156.8,34.7569
-156.33,35.936
-164.44,35.322
-150.23,38.8173
-155.94,32.636
-158.8,34.8161
-157,36.9644
-158.1,36.4361
-155.98,35.1131
-157.92,38.0862
-152.69,34.4863
-157.62,36.2945
-157.33,34.7438
-157.36,35.5646
-150.33,33.3963
-152.37,34.52
-152.86,33.2842
-149.73,34.7225
-154.03,32.6544
-148.91,34.6547
-158.1,34.5977
-150.5,34.306
-159.13,35.0756
-151.42,35.4444
-151.59,33.6518
-148.53,32.049
-158.51,35.2591
-154.26,34.4904
-152.1,35.0412
-151.36,32.8918
-153.84,33.332
-151.62,35.0595
-153.38,33.8892
-149.16,33.9443
-150.79,31.6953
-154.12,33.0813
-146.03,32.2097
-150.12,31.99
-149.29,33.1718
-150.3,33.7844
-154.62,34.7431
