Mean Return,Standard Deviation
-146.934,77.6919
-135.406,72.2362
-142.331,71.2311
-143.371,78.6627
-130.085,74.3558
-124.725,70.1498
-116.657,70.0543
-124.876,72.815
-108.455,62.1598
-115.17,62.9081
-115.152,66.5206
-108.235,64.0137
-110.782,64.5057
-102.597,62.0691
-106.53,61.36
-95.2858,51.761
-100.694,59.434
-98.1025,60.4173
-98.5008,61.6425
-100.73,60.7226
-99.1467,59.0817
-106.568,66.7773
-86.6,52.2579
-93.1383,54.7202
-96.6175,60.8353
-100.778,64.5389
-88.7342,56.6771
-88.1383,56.1366
-86.25,55.4428
-98.9158,68.8394
-94.9858,61.7855
-84.3917,57.1194
-92.7217,61.9261
-87.7433,56.2112
-91.1567,62.8379
-80.95,56.1139
-82.555,55.6333
-80.3767,50.8112
-88.605,57.6041
-83.115,53.3427
-89.72,59.205
-88.7233,59.7425
-87.4933,60.3062
-78.8525,56.6479
-80.7467,58.0379
-74.645,49.9629
-77.6392,55.9777
-72.9875,50.3189
-82.2567,50.2903
-71.3792,52.2285
-72.5283,56.755
-82.27,58.669
-75.395,51.9108
-78.1725,51.0579
-79.4825,53.9804
-73.4558,57.005
-66.8758,46.6659
-66.7658,46.7191
-71.3958,49.741
-66.6467,49.9441
-72.12,48.5791
-76.5892,58.1937
-72.5383,48.3907
-69.0342,46.9958
-79.0608,51.9123
-71.01,51.5747
-69.9508,50.6873
-68.6683,51.963
-69.75,46.5813
-67.645,48.8195
-68.0775,48.9507
-63.6,47.9513
-64.1383,48.0822
-70.375,50.787
-73.685,53.108
-66.7617,50.0787
-70.4167,53.9697
-73.6717,50.9947
-69.13,53.4593
-71.3483,56.0694
-73.5992,51.9409
-66.11,46.4117
-71.5225,50.7839
-67.1108,49.7307
-69.1483,54.5783
-71.595,56.9221
-66.1325,46.0265
-59.5283,45.2705
-63.12,46.644
-68.2058,54.5456
-70.01,53.3462
-63.4817,49.9121
-65.3383,46.9627
-61.2442,48.0905
-64.26,49.2173
-68.3475,51.071
-69.0458,52.1327
-62.5567,48.7421
-68.505,50.6206
-63.6708,53.9982
-60.8092,50.505
-72.1317,58.1743
-65.9925,52.0572
-60.3008,44.0382
-57.1683,46.555
-67.17,52.4792
-61.6292,50.3524
-63.375,50.1958
-57.8675,44.6549
-60.235,46.6235
-60.385,46.9277
-60.1433,47.3218
-63.7133,45.8558
-61.0975,45.6461
-61.395,47.1266
-61.1242,47.7385
-60.5642,47.8817
-67.0275,53.3668
-63.3867,46.2309
-57.65,47.4661
-60.5083,44.781
-61.4083,46.2254
-61.0075,45.8277
-61.285,44.4162
-60.8425,47.232
-59.6142,51.7601
-60.8733,49.7355
-61.3725,46.8327
-60.7875,51.2362
-60.0767,49.146
-57.9133,46.3141
-59.9567,47.5881
-58.9408,45.288
-54.7583,45.38
-57.2133,48.3375
-54.1175,50.6203
-55.0583,45.4528
-52.9275,44.1935
-54.1808,45.0081
-55.8342,48.0715
-56.9475,46.2512
-59.1967,50.056
-55.9408,46.2685
-58.5908,49.9717
-59.0425,49.3705
-56.3358,45.9691
-56.4433,44.1624
-53.68,43.4239
-55.8258,47.059
-59.9717,50.1383
-60.3933,49.9233
-53.8092,43.9125
-55.5817,46.283
-54.2267,47.4797
-53.5842,46.2713
-56.3275,45.3303
-55.755,52.4369
-53.7425,44.6424
-53.4808,44.008
-57.0025,48.435
-55.3267,50.8147
