Mean Return,Standard Deviation
22.17,12.9295
20.74,16.7601
20.82,11.0749
19.88,10.3634
20.44,13.2454
18.98,8.90804
20.95,12.3725
21.16,15.6913
18.76,10.7995
22.12,11.9775
20.94,14.2381
18.99,10.2666
19.21,9.24011
21.94,13.8599
18.58,9.38103
22.31,11.7488
20.41,14.697
19.8,10.2149
19.49,9.91937
20.7,12.8602
19.38,10.98
21.37,11.5642
19.77,10.559
22.11,11.8508
20.28,11.3734
19.4,10.1871
20.3,10.2173
19.96,11.6306
19.11,8.54092
18.84,9.93791
18.83,11.5208
21.28,11.2977
20.05,10.5681
19.13,11.4306
18.3,11.3025
22.7,15.088
20.91,13.128
21.06,11.6998
21.17,13.3379
21.96,11.2958
23.89,13.8898
19.64,10.6102
20.81,11.3215
20.25,13.4655
22.31,12.9019
20.9,11.7718
21.62,13.3695
20.41,10.4563
20.43,9.96991
18.85,9.85181
20.8,11.9206
18.68,11.1054
21.06,14.0919
20.86,11.2672
18.47,9.16896
20.49,12.2503
20.09,10.5084
19.57,11.4744
20,11.5426
17.82,10.5422
19.64,10.3734
20.09,11.2825
20.22,10.9134
19.65,10.6812
21.56,11.6648
22.41,13.4233
20.78,12.9752
18.63,8.51458
20.72,10.605
21.99,11.7992
21.73,12.6673
19.83,10.5352
21.32,11.3306
19.17,9.90465
21.42,10.3662
20.78,12.0517
19.43,9.90791
19.92,10.2363
21.47,12.0608
20.24,11.2789
22.48,13.8713
19.87,10.2116
18.6,9.49003
21.23,13.2778
21.01,11.2353
22.06,12.3238
19.48,8.61462
19.61,11.4158
18.38,9.37629
18.84,10.5512
20.37,11.1624
19.65,12.2098
20.01,12.1809
18.68,8.79839
21.83,11.2196
18.69,10.456
20.39,11.8261
21.67,11.1474
20.58,10.9251
18.14,8.26825
20.08,10.1868
19.59,10.2268
18.89,10.759
20.53,10.417
20.04,12.3721
18.95,9.5276
19.07,9.50731
20.66,12.8474
22.7,15.8621
19.95,11.3221
21.06,13.0305
18.19,7.49908
21.61,12.6098
19.43,10.2516
20.48,11.9066
21.13,12.7744
21.45,13.9504
22.06,12.0116
20.58,10.334
21.21,12.2921
21.72,13.0609
21.46,12.513
19.43,10.4681
21.01,11.5264
20.61,12.3394
23.39,16.0686
19.47,11.6154
21.33,14.9532
19.24,10.6184
18.31,8.53595
23.16,13.8102
22.37,13.3807
19.01,9.17561
21.06,12.7832
19.05,9.32724
22.04,13.6181
20.63,11.3295
21.23,15.0406
22.07,13.269
18.89,10.0039
20.29,11.8801
19.26,10.5931
20.15,10.0175
21.62,13.3036
19.95,10.8984
20.86,10.6069
20.74,11.3739
23.11,12.9106
19,10.7375
20.18,11.5491
19.37,10.041
19.23,12.0561
19.89,10.191
20.96,12.2606
20.52,12.8743
22.07,13.5931
19.66,10.1347
19.46,12.5677
18.89,10.4233
18.58,11.1339
19.3,8.85974
20.94,11.6635
19.55,9.10475
19.03,11.2443
19.58,9.64227
21.88,11.7536
19.53,11.8308
21.57,13.0285
21.63,13.477
18.84,9.43315
19.52,10.2686
20.75,11.5316
19.86,10.5467
23.29,14.1009
19.86,10.199
19.81,10.6313
20.48,11.564
21.77,12.7254
20.39,10.7091
18.31,10.311
19.84,13.206
22.31,15.1715
21.83,12.4357
20.41,11.6368
20.21,11.0456
20.82,14.22
19.52,11.1087
19.32,12.3459
20.04,13.356
19.33,9.70895
18.21,9.62876
20.52,13.3307
21.56,11.6561
20.49,10.9512
21.13,10.881
19.94,11.1698
22.61,14.0891
20.18,12.2675
19.8,11.9899
18.89,11.3599
22.06,12.5036
21.43,13.9518
22.54,14.2676
21.1,14.2719
19.89,11.2761
18.65,11.0667
19.53,9.10373
20.87,11.4695
19.44,10.1805
20.62,10.9413
20.6,13.9407
20.53,14.9528
20.71,10.2438
20.68,11.9738
21.78,12.4101
22.99,14.1974
19.98,10.5256
18.99,11.5334
21.04,10.6893
18.95,8.93
22.03,14.8857
20.24,11.1637
21.09,12.351
20.11,12.0721
21.28,16.102
19.79,9.60145
17.63,9.29392
21.86,13.0624
20.4,12.5505
22.43,16.7852
20.56,12.8325
20.09,13.3395
19.21,9.97501
20.22,11.5195
22.26,14.1304
19.25,8.77252
21.31,12.1262
20.8,12.5955
20.13,9.92971
20.58,13.5245
18.77,9.65344
20.33,11.8995
19.93,9.09352
20.14,10.6401
21.07,14.2455
21.09,11.4787
21.01,12.5324
20.83,12.8935
21.42,12.932
19.96,11.8985
21.86,13.0933
22.76,14.0455
20.35,9.89171
19.1,9.43291
20.37,11.1007
22.3,15.556
18.38,8.67806
19.74,11.2677
19.7,9.13037
19.33,10.7403
20.81,15.7792
19.94,10.5599
21.92,12.0711
21.19,12.0552
20.26,11.4923
19.89,10.399
19.94,9.85636
22.57,14.4943
21.9,13.3806
20.36,11.1822
20.17,13.0872
21.97,15.4922
21.81,10.7127
19.31,8.48849
