Mean Return,Standard Deviation
-109.48,96.608
-783.243,338.737
-931.06,231.749
-956.787,180.804
-931.347,230.575
-954.053,185.444
-970.733,156.558
-962.843,175.319
-983.173,120.373
-985.053,110.786
-989.817,87.2483
-974.857,149.688
-993.587,68.5702
-992.113,80.6164
-997.467,43.8786
-994.8,65.8166
-986.77,109.314
-993.417,80.4946
-994.437,68.6642
-996.797,55.4834
-1000,0
-993.73,76.696
-999.11,15.4153
-1000,0
-1000,0
-1000,0
-997.967,31.575
-1000,0
-998.77,21.3042
-1000,0
-1000,0
-996.73,56.6381
-1000,0
-997.017,51.6728
-1000,0
-1000,0
-1000,0
-1000,0
-1000,0
-1000,0
-1000,0
-1000,0
-1000,0
-1000,0
-1000,0
-1000,0
-1000,0
-1000,0
-1000,0
-1000,0
-996.693,57.2731
-996.693,57.2731
-996.693,57.2731
-1000,0
-996.693,57.2731
-996.693,57.2731
-996.693,57.2731
-996.693,57.2731
-996.693,57.2731
-996.693,57.2731
-996.693,57.2731
-996.693,57.2731
-996.693,57.2731
-996.693,57.2731
-996.693,57.2731
-994.943,64.7097
-993.387,80.8609
-993.387,80.8609
-993.42,80.4544
-993.39,80.8202
-992.09,83.1525
-993.403,80.6574
-993.56,78.7703
-993.4,80.698
-993.403,80.6574
-990.943,90.7527
-993.487,79.6477
-993.6,78.2962
-993.403,80.6574
-993.42,80.4544
-991.553,86.6647
-993.413,80.5355
-993.417,80.4949
-993.397,80.7387
-993.45,80.0903
-993.477,79.7681
-993.42,80.4544
-993.437,80.2519
-993.413,80.5355
-993.403,80.6574
-993.413,80.5355
-993.47,79.8485
-993.443,80.1711
-993.447,80.1307
-993.457,80.0096
-993.393,80.7794
-993.4,80.698
-993.53,79.1279
-993.407,80.6167
-993.447,80.1307
