Mean Return,Standard Deviation
-110.08,104.758
-132.49,147.726
-120.625,129.625
-128.63,178.842
-146.125,184.647
-143.525,193.635
-144.53,212.358
-143.785,197.885
-159.67,217.373
-139.335,190.485
-138.13,191.472
-142.305,200.387
-140.54,197.408
-133.85,193.355
-145.27,197.869
-138.3,198.888
-137.72,206.67
-137.645,194.375
-152.37,200.043
-139.76,195.215
-141.76,191.107
-151.075,207.065
-140.77,198.005
-127.8,191.876
-143.48,199.542
-143.585,193.196
-155.23,199.498
-140.96,195.896
-143.22,195.61
-136.2,198.293
-152.99,205.572
-148.395,194.37
-147.08,196.313
-139.605,194.176
-141.16,191.294
-150.71,196.594
-146.35,195.174
-147.24,202.049
-141.465,196.113
-140.51,188.684
-146.085,199.813
-146.7,196.975
-144.165,200.216
-157,201.487
-128.795,197.596
-135.505,192.839
-155.36,199.71
-154.765,199.595
-152.1,195.46
-155.99,201.173
-141.57,193.211
-139.555,194.193
-141.555,202.723
-139.07,196.696
-142.26,197.453
-145.085,204.855
-149.32,198.442
-146.81,194.626
-136,194.407
-141.535,199.719
-138.63,193.611
-151.035,196.093
-129.185,186.186
-135.595,185.402
-141.94,188.623
-126.26,184.354
-137.38,190.236
-141.485,190.73
-146.68,184.247
-138.085,187.577
-136.39,185.113
-145.125,193.158
-148.21,191.392
-134.14,181.93
-134.86,186.152
-141.54,188.419
-145.53,198.16
-131.685,183.887
-132.71,183.812
-133.275,182.953
