Mean Return,Standard Deviation
-5000,0
-5000,0
-5000,0
-4572.7,692.964
-4671.2,1039.76
-4254.1,1462
-5000,0
-4820.4,567.945
-5000,0
-4683.4,1001.18
-5000,0
-5000,0
-5000,0
-4843.1,496.161
-4976.1,75.5784
-5000,0
-5000,0
-5000,0
-4815.7,582.808
-4996.2,12.0167
-5000,0
-5000,0
-4787.4,672.3
-5000,0
-5000,0
-4240,1245.62
-4867.9,417.737
-5000,0
-4916.4,264.366
-4765.7,507.432
-5000,0
-4740.1,694.854
-5000,0
-4899,319.39
-4992.5,23.7171
-4615.7,957.741
-4958,132.816
-4673.8,718.426
-4679.1,1014.77
-4695.1,964.178
-5000,0
-4960,126.491
-4776,708.35
-5000,0
-4926.6,232.111
-5000,0
-5000,0
-4943.4,178.985
-4905.6,298.519
-5000,0
-4545.3,982.45
-5000,0
-4710.6,915.163
-5000,0
-5000,0
-5000,0
-5000,0
-4700.9,945.837
-5000,0
-5000,0
-4763.9,618.408
-5000,0
-4673.8,934.096
-5000,0
-4898.8,320.022
-5000,0
-5000,0
-5000,0
-5000,0
-5000,0
-4694.6,965.76
-4650.9,1103.95
-4720,885.438
-4869.8,355.129
-5000,0
-5000,0
-5000,0
-4723.6,874.054
-5000,0
-4811.5,596.089
-4918.3,258.358
-4922.5,245.077
-5000,0
-4736,834.841
-4726,687.029
-4854.6,459.795
-4696.9,958.486
-5000,0
-4927.7,171.014
-5000,0
-4895.4,330.774
-4810.2,600.2
-5000,0
-4948.3,163.49
-4707,926.547
-5000,0
-4647.8,1113.75
-5000,0
-4783,686.214
-5000,0
-4606.8,858.649
-4640.8,740.006
-4670.5,1041.97
-5000,0
-4376.7,1317.92
-5000,0
-5000,0
-4736.6,832.944
-4851.9,468.333
-4880.7,377.26
-4704.6,934.137
-4979.1,44.9158
-4750.3,789.621
-4899.7,317.176
-4774.7,712.461
-4911.4,280.178
-5000,0
-5000,0
-5000,0
-5000,0
-4673.1,1033.75
-5000,0
-5000,0
-4546.9,958.438
-5000,0
-4831.7,532.211
-4991.8,25.9307
-4667.5,805.2
-4598.8,859.906
-4903.3,305.792
-4832.2,530.63
-5000,0
-4742.9,813.022
-4628.2,883.98
-4684.6,872.08
-4957.7,133.764
-4783.7,684.001
-4836.3,517.665
-5000,0
-5000,0
-5000,0
-4959.7,127.44
-4953.2,147.995
-5000,0
-5000,0
-4845.7,487.939
-5000,0
-5000,0
-5000,0
-5000,0
-4927.4,229.581
-5000,0
-5000,0
-4971.2,91.0736
-5000,0
-4848.6,478.769
-5000,0
-5000,0
-4894.4,333.937
-5000,0
-5000,0
-5000,0
-4924,240.333
-5000,0
-4763,749.46
-4750.3,789.621
-4760.9,756.101
-4713.2,906.941
-5000,0
-4885.2,363.029
-4490.2,1116.93
-5000,0
-4335.1,1307.6
-5000,0
-5000,0
-4629.3,1172.26
-4705.1,729.476
-5000,0
-4649.7,1107.75
-5000,0
-4778.2,498.902
-5000,0
-5000,0
-5000,0
-4896.4,327.612
-5000,0
-4820.8,566.68
-5000,0
-4935.6,203.651
-4744,809.543
-5000,0
-4880.2,378.841
-4819.3,571.424
-5000,0
-4809,489.917
-4823,559.723
-5000,0
-5000,0
-4603.1,836.748
-5000,0
